Domain,PastUsage,BrandabilityScore,Backlinks
WeKeepYouFresh.com,Yes,1,0
iFeelLikeDying.com,Yes,1,0
Namecheap.com,Yes,2,0
StupidityAtItsBest.com,Yes,1,0
MaineMarijuanaConsulting.com,Yes,2,0
PioneerBurger.com,Yes,1,0
TerpeneFacts.com,Yes,1,0
BoxingQuotes.com,Yes,1,0
NobleBeef.com,Yes,2,0
ForgivenessMatters.com,Yes,1,0
FurnaceVentCleaning.com,Yes,1,0
Germiguard.com,Yes,2,0
FocusOnCustomers.com,Yes,1,0
ExcellentGuys.com,Yes,1,0
008rentalsllc.com,Yes,0,0
BerlinLondonManhattan.com,Yes,1,0
CentennialDecorating.com,Yes,1,0
InterestingTidbits.com,Yes,1,0
001simontok.com,Yes,0,0
021wo.com,Yes,1,0
AffairCatering.com,Yes,2,0
LifeOfaStudent.com,Yes,1,0
GradeAMarijuana.com,No,1,0
SelectiveElectrical.com,No,1,0
VaporBug.com,No,2,0
domains000-secure.com,No,1,0
AcademicUtopia.com,No,1,0
GainInstantAccess.com,No,2,0
DigitalDamsels.com,No,1,0
CbdInfusables.com,No,1,0
AllYourCarNeeds.com,No,1,0
IrelandElectrical.com,No,1,0
Phance.com,No,2,0
VoiceoverPros.com,No,1,0
EarTherapeutics.com,No,1,0
MemphisCookies.com,Yes,1,0
Truddo.com,No,2,0
CreateaCollage.com,No,1,0
ElectronicHeaters.com,No,1,0
BlanketTrunk.com,No,1,0
PropertyPreservationWizard.com,No,1,0
021-dr.com,No,1,0
Estibot.com,No,3,0
CinchCannabis.com,No,1,0
google.com,No,3,0
YesterdayIsGone.com,No,2,0
SunshineGrocers.com,No,1,0
WobGO.com,No,3,0
FantasticDishes.com,No,1,0
0016kj.com,Yes,1,0
MajesticDelights.com,Yes,1,0
UnicornsForUnity.com,Yes,1,0
searchengineguide.com,Yes,1,0
AlaskaOnHorseback.com,Yes,1,0
BerlinGermany.com,Yes,1,0
SuburbanSophisticate.com,No,1,0
SipsCocktail.com,Yes,2,0
CallaBud.com,Yes,2,0
net0008ybur.com,Yes,0,0
007unleashed.com,Yes,0,0
TulipBusiness.com,Yes,1,0
Glulp.com,Yes,2,0
AllNaturalVending.com,No,1,0
OnTheGoFood.com,Yes,2,0
WeCanArrangeThat.com,Yes,2,0
LadiesInStockings.com,Yes,1,0
IntensiveCareProfessional.com,No,1,0
DrumsetWorkouts.com,No,1,0
BirdWatchingPeru.com,Yes,1,0
IgniteYourProfits.com,Yes,2,0
Hugaslot.com,Yes,2,0
TheYoungCreators.com,Yes,1,0
GodsRevival.com,Yes,2,0
Cannabonics.com,Yes,1,0
CaliforniaPawnBrokers.com,Yes,1,0
DeliveryWithaSmile.com,No,1,0
DealOfaLifetime.com,No,1,0
SeriousDonuts.com,No,1,0
OrderPlantsOnline.com,No,1,0
0000000pm.com,No,1,0
YogurtFace.com,No,2,0
ScubaDivingToronto.com,No,1,0
HowToGetRidOfaCold.com,No,2,0
NoMoreSnails.com,No,2,0
NutritiousCatering.com,No,1,0
CleanseYourSkin.com,Yes,1,0
DigitalMarijuana.com,No,1,0
00006647.com,Yes,1,0
HomesByZipCode.com,No,2,0
0082400.com,No,1,0
RoostersRoundup.com,No,1,0
RemotelyControl.com,No,1,0
namecheap.com,Yes,2,0
x3fg4m.com,Yes,1,0
LifestyleAndBeyond.com,Yes,1,0
Illumilus.com,Yes,2,0
YourInnerHarmony.com,Yes,1,0
CannabisSelection.com,Yes,1,0
Troane.com,Yes,2,0
froggydomains.com,No,2,0
QuickieInsurance.com,No,1,0
SafetyShutters.com,No,1,0
FelineShop.com,Yes,3,0
EntertainmentOasis.com,Yes,2,0
MoneyFinesse.com,Yes,1,0
JustDropped.com,Yes,1,0
005155.com,Yes,1,0
Berlin.com,Yes,2,0
DowndraftCooktop.com,Yes,1,0
0101technologies.com,Yes,1,0
LondonRealEstate.com,Yes,1,0
AskNowPsychics.com,No,1,0
021meiye.com,No,1,0
FineTuneYou.com,No,1,0
BuyVenezuelan.com,Yes,1,0
Zultira.com,Yes,2,0
ExpressVapors.com,Yes,1,0
IdealAntiques.com,Yes,1,0
KingdomClassy.com,Yes,1,0
001xnxn.com,Yes,1,0
PoconosTours.com,Yes,1,0
CraftyCamping.com,No,1,0
MarijuanaTopShelf.com,Yes,1,0
MedicalCannabisBar.com,No,1,0
Cannarotic.com,No,2,0
0015866.com,No,1,0
onJustDropped.com,No,1,0
WallSomething.com,No,1,0
Bidroo.com,No,2,0
SupervisorSalary.com,No,1,0
UsingYourMind.com,No,1,0
Jekek.com,Yes,2,0
MasterpiecePrinting.com,Yes,1,0
020825.com,Yes,1,0
BecomeaPhysician.com,Yes,1,0
PeekaBows.com,Yes,2,0
012238.com,Yes,1,0
DistinctiveInvitations.com,Yes,1,0
Sockomo.com,Yes,2,0
00168kj.com,Yes,1,0
MidwestHerbals.com,Yes,1,0
GalacticMonkeys.com,Yes,1,0
Rooibo.com,Yes,2,0
PeculiarPlaces.com,No,1,0
BajaBedAndBreakfast.com,Yes,1,0
ExclusivelyMine.com,Yes,1,0
PoochesPlaytime.com,Yes,1,0
BecomingMoreConfident.com,No,1,0
BerlinLawyer.com,Yes,1,0
Snoups.com,No,2,0
FitMyNeeds.com,Yes,3,0
017971.com,Yes,1,0
UnifiedExpeditors.com,Yes,1,0
PriorityScheduling.com,Yes,1,0
InsuranceExaminers.com,Yes,1,0
Squacks.com,No,2,0
WillingSkincare.com,Yes,1,0
FrankenDogs.com,No,1,0
Snillies.com,Yes,2,0
BidaHotel.com,Yes,2,0
ItsGoodToBeAlive.com,Yes,2,0
CbdCabin.com,No,2,0
HikingCompass.com,No,1,0
SunshineComfort.com,No,1,0
ScifiWarehouse.com,No,1,0
CushionRunningShoes.com,Yes,1,0
Bebbled.com,No,2,0
MaskExempt.com,No,2,0
net018526456.com,No,0,0
PartsByNumber.com,Yes,1,0
GetTheResultsYouWant.com,Yes,2,0
RussianFlavors.com,No,1,0
ArrhythmiaFacts.com,No,1,0
PropertySoldPrices.com,No,1,0
DeliveryTitan.com,Yes,1,0
MassageCam.com,No,2,0
00336699.com,Yes,1,0
HassleFreeCarBuying.com,Yes,1,0
VaporBee.com,Yes,2,0
HempManiacs.com,Yes,1,0
RoosterBrewing.com,Yes,1,0
PassionateLoving.com,Yes,1,0
BlessedMushrooms.com,Yes,1,0
GoodWalrus.com,Yes,3,0
GetInstructed.com,Yes,2,0
ToDieForChocolate.com,Yes,1,0
007chatgpt.com,Yes,1,0
007gaiji.com,Yes,2,0
SuperiorWill.com,Yes,1,0
RenegadeBikes.com,Yes,1,0
MarketingSalary.com,Yes,1,0
CbdPainKillers.com,Yes,2,0
com.ai,Yes,2,0
AdultSocialSports.com,No,1,0
DuiCalculator.com,Yes,1,0
OneChildOneDream.com,Yes,1,0
Frankentube.com,Yes,1,0
HippieCostumes.com,No,1,0
WirelessToad.com,Yes,1,0
SaveYourWindshield.com,No,1,0
iConfection.com,No,1,0
WickToWax.com,Yes,2,0
CondimentDispensers.com,Yes,1,0
AssistantSalary.com,Yes,1,0
TheSwankyBrownie.com,No,1,0
Vidbix.com,Yes,2,0
RecordaLine.com,Yes,1,0
justdropped.com,No,1,0
TopTenHeadlines.com,No,1,0
PoundsForPups.com,Yes,1,0
ThcaCookies.com,No,1,0
MailOrderShrooms.com,Yes,2,0
PoolPosse.com,No,2,0
VermontLtd.com,Yes,2,0
TalkThatOut.com,Yes,1,0
Wazcom.com,Yes,2,0
PhotoMatting.com,No,1,0
QueensCleaningService.com,No,1,0
ResolveThat.com,No,1,0
CbdRanker.com,No,2,0
GrabaCopy.com,No,2,0
01921cc.com,Yes,1,0
KidApprovedRecipes.com,Yes,1,0
MarijuanaCleanse.com,No,1,0
PurelyAuthentic.com,Yes,1,0
0112400.com,Yes,1,0
AcornVending.com,Yes,1,0
0000l.com,No,1,0
BerlinWall.com,Yes,2,0
PurelyTHC.com,Yes,2,0
StarHippo.com,Yes,2,0
FreeSpaceMedia.com,No,1,0
CurtainCountry.com,Yes,2,0
Catched.com,Yes,2,0
HampersToHangers.com,Yes,1,0
WorldWideWeb.com,Yes,1,0
KnitBoots.com,Yes,2,0
TaxAuditTech.com,Yes,2,0
00000pk.com,Yes,1,0
TheBusinessSaviour.com,No,1,0
GettingToCommitment.com,No,2,0
NameProcessor.com,No,1,0
CostumesForCouples.com,Yes,1,0
ExcellentMates.com,Yes,1,0
PrimoMembers.com,Yes,1,0
001jcw.com,Yes,1,0
ViewMyRegistry.com,Yes,1,0
007hoki.com,Yes,1,0
EarnestInteriors.com,No,1,0
FunctionalAnxiety.com,No,1,0
GuitarDefender.com,No,1,0
SugarCanisters.com,No,1,0
07-19-2025Justdropped.com,Yes,0,0
AccountingCore.com,Yes,1,0
OceanicCrust.com,No,1,0
SuttersCreek.com,Yes,1,0
LiberatingEducation.com,No,1,0
ExampleEmail.com,Yes,2,0
Nutrizabet.com,No,2,0
011624.com,Yes,1,0
ClearanceMill.com,No,1,0
003jcw.com,No,1,0
CbdDiagnostics.com,No,1,0
RubberBushings.com,Yes,1,0
Naeds.com,No,2,0
FreezingTheMoment.com,Yes,1,0
BelieveJustBelieve.com,Yes,1,0
SpiritualityWiki.com,Yes,1,0
DesignByFunction.com,No,1,0
Purrrrfect.com,Yes,2,0
Kewingo.com,Yes,3,0
RealFreshFruit.com,Yes,1,0
DropMyPMI.com,Yes,2,0
SwimmingFreestyle.com,Yes,1,0
UkSightseeing.com,No,1,0
018mi.com,Yes,1,0
NiftyNibbles.com,No,1,0
NakedHippy.com,No,2,0
ImpeccableCleaners.com,Yes,1,0
SnazzyPooch.com,Yes,1,0
PrimedForPower.com,Yes,1,0
OkMushroom.com,Yes,2,0
AutoIndemnity.com,Yes,1,0
ValuateMyHome.com,Yes,2,0
ChemistryBasics.com,Yes,1,0
KingdomKarate.com,No,1,0
015879624.com,No,1,0
DropTheHat.com,No,2,0
CyberPhotoBook.com,Yes,1,0
HitechAdvantage.com,Yes,2,0
Millip.com,Yes,2,0
021zhenwei.com,Yes,1,0
ElbowTattoos.com,Yes,1,0
ApproachingMenopause.com,No,1,0
WannaShoot.com,No,2,0
Xesym.com,No,2,0
RecliningLoveSeat.com,No,1,0
Alexa.com,Yes,2,0
GoodMorningPictures.com,No,2,0
GourmetForaDay.com,No,2,0
RugSeekers.com,Yes,2,0
Exilm.com,Yes,2,0
PracticalComponent.com,No,1,0
Badyi.com,No,2,0
123domain-name.com,Yes,1,0
TravelingPhysician.com,Yes,1,0
00vj.com,No,1,0
WallBerlinExample.com,No,1,0
RetailSecurityJobs.com,No,2,0
GuardianFortress.com,No,1,0
StandUpForAll.com,No,1,0
ElectroAffinity.com,Yes,1,0
Yoiggers.com,Yes,2,0
MagnificentPastries.com,No,1,0
BerlinLondon.com,Yes,1,0
helloworld24.com,Yes,0,0
Qapao.com,Yes,2,0
netpaycenter.com,Yes,1,0
BigBangBrewing.com,No,1,0
estartup.com,Yes,2,0
AromaticPotpourri.com,Yes,1,0
Skuzzio.com,Yes,2,0
FlyingPorcupine.com,Yes,1,0
FullProfileCBD.com,Yes,1,0
WhatCatholicsBelieve.com,Yes,1,0
Name.com,Yes,2,0
SkiCore.com,No,2,0
DryEraseMarker.com,No,1,0
CampingCapdagde.com,No,1,0
MeltingPenguin.com,No,1,0
ControlYourBloodSugar.com,Yes,1,0
DiscoCostumes.com,Yes,1,0
AwesomeVows.com,Yes,1,0
KnowUsBetter.com,Yes,1,0
wonos.com,Yes,2,0
PassiveRadar.com,No,1,0
AdvantageVapors.com,No,1,0
EssentialErrands.com,Yes,1,0
DrainageBusters.com,Yes,2,0
GreatLookingTeeth.com,Yes,1,0
Videofication.com,No,1,0
FullDuvetCovers.com,Yes,1,0
TemporaryInjunction.com,Yes,1,0
SpicyHippo.com,No,2,0
023xzw.com,No,1,0
Snokle.com,No,2,0
MakeGoodBetter.com,Yes,2,0
MaryjaneMedi.com,Yes,1,0
PediatricConsultation.com,Yes,1,0
MeasureYourResults.com,Yes,1,0
EmpireBalloons.com,No,1,0
GanjaGuerrilla.com,No,1,0
PlasticBasin.com,Yes,1,0
iNeedToPayMyBills.com,Yes,1,0
CrittersPestControl.com,No,1,0
Explorier.com,No,2,0
ThePrincipleOfThought.com,No,1,0
WheelChairDesks.com,No,2,0
BingoPlease.com,Yes,2,0
MyChristianRoots.com,No,1,0
0191331.com,Yes,1,0
SayItWithaCake.com,Yes,1,0
HowToWriteaSynopsis.com,Yes,1,0
StickItVinyl.com,Yes,1,0
CanadianFinances.com,Yes,1,0
021lailin.com,Yes,2,0
YearbookThemes.com,Yes,1,0
CodingForaCure.com,Yes,1,0
FidgetsOnDigits.com,Yes,2,0
LetsSpreadTheWord.com,No,1,0
CannabisDiploma.com,Yes,1,0
ag.ai,Yes,2,0
SaltyDogKayaks.com,Yes,1,0
Donatte.com,Yes,2,0
StudyingTheBible.com,Yes,1,0
TotallyFilthy.com,Yes,1,0
LadybugBedding.com,Yes,1,0
Veelle.com,Yes,2,0
ShopAutomobiles.com,Yes,2,0
Xuggo.com,No,3,0
DedicateServers.com,Yes,1,0
TheJobOpportunities.com,Yes,1,0
ByeByeBigBrother.com,Yes,1,0
TuneUpYourLife.com,Yes,1,0
BelowTheBeltSports.com,Yes,1,0
WayOutOfControl.com,No,1,0
BifoldClosetDoors.com,No,1,0
ThirstyLizardSaloon.com,Yes,1,0
CourageousHealers.com,No,1,0
LandscapeAuthority.com,No,1,0
WhatsOnTelevision.com,Yes,1,0
TechnologyOverload.com,Yes,2,0
PrecisionShot.com,No,1,0
01964cc.com,Yes,1,0
Justdropped.com,Yes,1,0
QuoteAssure.com,No,1,0
PotteryBaby.com,Yes,1,0
GreatDayCharters.com,Yes,1,0
GeneticFingerprints.com,No,1,0
WhatsForLunchToday.com,Yes,1,0
001xxnx.com,Yes,1,0
FindingaPurpose.com,No,1,0
DefyTheRooster.com,No,1,0
CowDecor.com,Yes,2,0
CannaGreenway.com,No,1,0
UrgentElderCare.com,Yes,1,0
HappyBirthdayRewards.com,Yes,1,0
WebTextbook.com,No,1,0
ClassicCarpetCleaners.com,No,1,0
SeamstressJobs.com,Yes,1,0
ArcticLearning.com,Yes,1,0
CreativeTouchDecor.com,No,1,0
MaryjaneBites.com,Yes,1,0
GetToKnowIt.com,Yes,2,0
OasisPublications.com,Yes,1,0
RealTransportation.com,Yes,1,0
TrackYourExercise.com,Yes,1,0
MarionettePuppets.com,Yes,1,0
IrishStepDancers.com,Yes,1,0
TelecomDude.com,Yes,1,0
TheGoodHorsemanship.com,Yes,2,0
022105.com,Yes,1,0
ProsperCareGiving.com,Yes,1,0
YummyMorsels.com,Yes,1,0
StLouisTrialLawyers.com,No,1,0
EuroWalkers.com,Yes,1,0
UnitedStates.com,Yes,1,0
004jcw.com,Yes,1,0
Spaceship.com,Yes,2,0
h3ll0w0rld.com,No,1,0
GottaGetMeSome.com,No,2,0
Scoofie.com,No,2,0
CannabisWaxes.com,No,1,0
OrnamentalOutlook.com,No,1,0
TechnoLessons.com,No,2,0
FinancialRealityCheck.com,No,1,0
Pickizi.com,Yes,2,0
in.io,No,2,0
Snibbel.com,No,2,0
AskThoseWhoKnow.com,No,1,0
HuntingGhosts.com,Yes,1,0
Splief.com,Yes,2,0
alexa.com,Yes,2,0
BeverageCoaster.com,No,1,0
AccurateAntibodies.com,Yes,1,0
ConsiderItArt.com,Yes,1,0
FinderOfLove.com,Yes,1,0
01945cc.com,No,1,0
TranslateForUs.com,Yes,1,0
TennisTubbies.com,No,1,0
MakeGoodMusic.com,No,2,0
ThisIsAboutLove.com,Yes,1,0
0149014.com,Yes,1,0
PamperMyPaws.com,Yes,1,0
AmericansForPeace.com,No,1,0
008dai.com,Yes,2,0
Kushoo.com,Yes,2,0
EngineDetailing.com,Yes,2,0
MajestyMaintenance.com,Yes,2,0
CanadaCookies.com,Yes,1,0
TijuanaBrothels.com,Yes,1,0
FungiShroom.com,Yes,1,0
SurveillancePhotography.com,Yes,1,0
